	Pathways in cancer - Homo sapiens (human)	DCC	CASP3	CASP9	CDH1	CTNNB1	WNT16;WNT4;WNT1;WNT2;WNT3;WNT5A;WNT6;WNT7A;WNT7B;WNT8A;WNT8B;WNT10B;WNT11;WNT2B;WNT9A;WNT9B;WNT10A;WNT5B;WNT3A	CTNNA1;CTNNA2;CTNNA3	ITGB1	DVL1;DVL2;DVL3	LAMC3;COL4A1;COL4A2;COL4A3;COL4A4;COL4A5;COL4A6;LAMB4;FN1;LAMA1;LAMA2;LAMA3;LAMA4;LAMA5;LAMB1;LAMB2;LAMB3;LAMC1;LAMC2	ITGA6;ITGA2;ITGA2B;ITGA3;ITGAV	PTK2	PTEN	FZD10;FZD2;FZD5;FZD3;FZD1;FZD4;FZD6;FZD7;FZD8;FZD9	APPL1	ABL1;BCR	CRK;CRKL	CBL	P3R3URF-PIK3R3;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3	STAT5A;STAT5B	JAK1;JAK2;JAK3	EGFR	ERBB2	PDGFRA;PDGFRB	IGF1R	KIT	FLT3	MET	FGFR1;FGFR3;FGFR2;FGFR4	TFG;NTRK1;TPM3;TPR	TGFA	EGF	HGF	PDGFA;PDGFB	IGF1;IGF2	AR	HSP90AA1;HSP90AB1;HSP90B1	GSK3B	AXIN1;AXIN2	APC2;APC	CHUK;IKBKB;IKBKG	MTOR	BAD	MDM2	CDKN1B	BCL2L1	STAT3	STAT1	GRB2	SOS1;SOS2	HRAS;KRAS;NRAS	ARAF;RAF1;BRAF	MAP2K1;MAP2K2	RASSF5	RASSF1	NFKBIA	NFKB1;NFKB2;RELA	STK4	CCND1	RET;CCDC6;NCOA4	PLCG1;PLCG2	RALGDS	RALA;RALB	RHOA;RAC1;RAC2;RAC3	RALBP1	PLD1;PLD2	MAPK8;MAPK9;MAPK10	RAC1;RAC2;RAC3;CDC42	JUN	FOS	MYC	TP53	LEF1;TCF7;TCF7L2;TCF7L1	PRKCA;PRKCB;PRKCG	Adherens junction - Homo sapiens (human)	Wnt signaling pathway - Homo sapiens (human)	ECM-receptor interaction - Homo sapiens (human)	Cytokine-cytokine receptor interaction - Homo sapiens (human)	JAK-STAT signaling pathway - Homo sapiens (human)	MAPK signaling pathway - Homo sapiens (human)	mTOR signaling pathway - Homo sapiens (human)	Estradiol-17beta;Progesterone;Flutamide;Dehydroepiandrosterone;Androstenedione;Cortisol;Cortisone	Cholesterol	Phosphatidylinositol-3,4,5-trisphosphate	Diacylglycerol	D-myo-Inositol 1,4,5-trisphosphate	Calcium cation	Phosphatidate	SHH	PTCH1	SMO	SUFU	FH	EGLN2;EGLN3;EGLN1	ELOB	ELOC	VHL	CUL2	RBX1	EPAS1;HIF1A	ARNT;ARNT2	CREBBP;EP300	CYCS	BRCA2	RAD51	MLH1	MSH2	TGFB1;TGFB2;TGFB3	TGFBR1	TGFBR2	SMAD2;SMAD3	SMAD4	BAX	MSH3	MSH6	MECOM	MECOM;RUNX1	CTBP1;CTBP2	HDAC1;HDAC2	GSTP1	Fumarate	(S)-Malate	Apoptosis - Homo sapiens (human)	p53 signaling pathway - Homo sapiens (human)	Cell cycle - Homo sapiens (human)	VEGF signaling pathway - Homo sapiens (human)	PPAR signaling pathway - Homo sapiens (human)	TGF-beta signaling pathway - Homo sapiens (human)	2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine	Retinoate;9-cis-Retinoic acid	PPARG;PAX8	RXRA;RXRB;RXRG	PPARG	RARB	JUP	RARA;ZBTB16	PML;RARA	RUNX1;RUNX1T1	SPI1	CEBPA	RUNX1	MITF	MAX	ZBTB17	CCND1;CCND2;CCND3	CDKN1A	CDK4;CDK6	RB1	E2F1;E2F2;E2F3	CDK2	CCNE1;CCNE2	SKP2	CKS1B;CKS2	CCNA2;CCNA1	CDKN2B	CDKN2A	FAS	FADD	CASP8	BID	Focal adhesion - Homo sapiens (human)	BMP2;BMP4	GLI1	HHIP	PTCH1;PTCH2	KLK3	BIRC5	PTGS2	NOS2	BCL2	BIRC2;BIRC3;XIAP;BIRC7	TRAF1;TRAF2;TRAF3;TRAF5;TRAF6;TRAF4	VEGFD;PGF;VEGFA;VEGFB;VEGFC	PDGFB	SLC2A1	DAPK1;DAPK3;DAPK2	CDK4	ETS1	MMP1;MMP2;MMP9	CXCL8	CSF2RA	CSF3R	CSF1R	IL6	PPARD	FOXO1	NKX3-1	MAPK1;MAPK3	AKT3;AKT1;AKT2	GLI1;GLI2;GLI3	FASLG	KITLG	FLT3LG	FGF1;FGF2;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGF10;FGF20;FGF21;FGF22;FGF23;FGF18;FGF17;FGF16;FGF19	Testosterone	Dihydrotestosterone	PI3K-Akt signaling pathway - Homo sapiens (human)	LPAR6;AGTR1;LPAR1;F2R;LPAR3;LPAR4;LPAR5;F2RL3;LPAR2	PTGER1;PTGER2;PTGER3;PTGER4	EDNRA;EDNRB;BDKRB1;BDKRB2	GNAS	ADCY1;ADCY2;ADCY3;ADCY5;ADCY6;ADCY7;ADCY8;ADCY9;ADCY4	PRKACA;PRKACB;PRKACG	GNB5;GNB1;GNB2;GNB3;GNG3;GNG4;GNG5;GNG7;GNG10;GNG11;GNGT1;GNGT2;GNG13;GNG2;GNG12;GNB4;GNG8	3',5'-Cyclic AMP	GNA13;GNA12	ARHGEF12;PLEKHG5;ARHGEF1;ARHGEF11	RHOA	ROCK1;ROCK2	GNA11;GNAQ	PLCB1;PLCB2;PLCB3;PLCB4	RASGRP1;RASGRP2;RASGRP4;RASGRP3	GNAI1;GNAI2;GNAI3	CXCR4	cAMP signaling pathway - Homo sapiens (human)	Prostaglandin E2	CXCL12	1-Acyl-sn-glycerol 3-phosphate	KIF7	JAG1;JAG2	NOTCH1;NOTCH2;NOTCH3;NOTCH4	DLL3;DLL1;DLL4	Notch signaling pathway - Homo sapiens (human)	HES1;HES5	HEY1;HEY2;HEYL	FLT4	Hedgehog signaling pathway - Homo sapiens (human)	NFE2L2	KEAP1	HMOX1	NQO1	GSTO2;GSTA5;GSTT4;GSTA1;GSTA2;GSTA3;GSTA4;GSTM1;GSTM2;GSTM3;GSTM4;GSTM5;GSTP1;GSTT1;GSTT2;MGST1;MGST2;MGST3;GSTT2B;GSTO1	TXNRD2;TXNRD3;TXNRD1	Acrolein	4-Hydroxynonenal	Nitric oxide	Superoxide	Hydroperoxyl radical	Hydrogen peroxide	Hydroxyl radical	GADD45G;GADD45A;GADD45B	BAK1	DDB2	POLK	TERT	hsa:7012	DNA	ESR1;ESR2	NCOA3;NCOA1	Estrogen signaling pathway - Homo sapiens (human)	FOS;JUN;SP1	Estradiol-17beta	HIF-1 signaling pathway - Homo sapiens (human)	LRP6;LRP5	FRAT1;FRAT2	ALK;EML4	RPS6KB1;RPS6KB2	RPS6KA5	CALML6;CALML5;CALM1;CALM2;CALM3;CALML3;CALML4	CAMK2A;CAMK2B;CAMK2D;CAMK2G	Calcium signaling pathway - Homo sapiens (human)	ELK1	SKP1;CUL1;RBX1	PMAIP1	BBC3	BCL2L11	CASP3;CASP7	APAF1	PIM2;PIM1	EPO;IFNA1;IFNA2;IFNA4;IFNA5;IFNA6;IFNA7;IFNA8;IFNA10;IFNA13;IFNA14;IFNA16;IFNA17;IFNA21;IFNG;IL2;IL3;IL4;IL5;IL6;IL7;IL12A;IL12B;IL13;IL15;IL23A	CSF2RB;IL23R;EPOR;IFNAR1;IFNAR2;IFNGR1;IFNGR2;IL2RA;IL2RB;IL2RG;IL3RA;IL4R;IL5RA;IL6R;IL6ST;IL7R;IL12RB1;IL12RB2;IL13RA1;IL15RA	STAT2;STAT4;STAT6	F2	KNG1	EDN1	AGT
LAMC3;COL4A1;COL4A2;COL4A3;COL4A4;COL4A5;COL4A6;LAMB4;FN1;LAMA1;LAMA2;LAMA3;LAMA4;LAMA5;LAMB1;LAMB2;LAMB3;LAMC1;LAMC2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA6;ITGA2;ITGA2B;ITGA3;ITGAV	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTEN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FZD10;FZD2;FZD5;FZD3;FZD1;FZD4;FZD6;FZD7;FZD8;FZD9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APPL1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1;BCR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRK;CRKL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P3R3URF-PIK3R3;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT5A;STAT5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
JAK1;JAK2;JAK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
EGFR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFRA;PDGFRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF1R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
